email;Age range;Salary bracket;Location;Contract type;Department;Seniority
henri54@hoolie.com;-26;[60k€ et +[;Turkey;Intern;Cross-fonctionnal team;-1 year
fguillou@hoolie.com;36 - 40;[33k€-38k€[;Spain;Fixed-term contract;Engineering;1 - 3 years
dpoulain@hoolie.com;40;[60k€ et +[;Norway;Permanent contrat;Sales;4 - 5 years
christine.laporte@hoolie.com;26 - 30;[45k€-60k€[;Croatia;Apprentice;Sales;-1 year
guibert.patrick@hoolie.com;-26;Less than 29k€;USA;Intern;Engineering;+ 5 years
celina.ledoux@hoolie.com;-26;[29k€-33k€[;Belgium;Fixed-term contract;Sales;1 - 3 years
suzanne84@hoolie.com;31 - 35;[45k€-60k€[;UK;Permanent contrat;Sales;+ 5 years
paul63@hoolie.com;40;[45k€-60k€[;Hungary;Permanent contrat;Sales;1 - 3 years
gabrielle96@hoolie.com;40;[60k€ et +[;UK;Fixed-term contract;Cross-fonctionnal team;+ 5 years
genevieve97@hoolie.com;31 - 35;Less than 29k€;Norway;Fixed-term contract;Operations;+ 5 years
philippe26@hoolie.com;-26;[60k€ et +[;Croatia;Permanent contrat;Engineering;1 - 3 years
briand.sophie@hoolie.com;40;[29k€-33k€[;Norway;Apprentice;Operations;1 - 3 years
bernadette56@hoolie.com;31 - 35;[38k€-45k€[;France;Apprentice;Engineering;+ 5 years
maurice.marc@hoolie.com;31 - 35;[29k€-33k€[;India;Permanent contrat;Sales;-1 year
bboulanger@hoolie.com;36 - 40;[29k€-33k€[;Norway;Apprentice;Engineering;+ 5 years
daniel35@hoolie.com;31 - 35;[29k€-33k€[;Hungary;Apprentice;Operations;-1 year
william48@hoolie.com;26 - 30;Less than 29k€;China;Fixed-term contract;Engineering;4 - 5 years
timothee41@hoolie.com;-26;Less than 29k€;Spain;Permanent contrat;Cross-fonctionnal team;1 - 3 years
barnaud@hoolie.com;31 - 35;[45k€-60k€[;Croatia;Fixed-term contract;Engineering;+ 5 years
gdevaux@hoolie.com;40;Less than 29k€;Singapore;Intern;Cross-fonctionnal team;1 - 3 years
william.laroche@hoolie.com;40;[45k€-60k€[;Norway;Apprentice;Sales;-1 year
drobin@hoolie.com;-26;[29k€-33k€[;France;Fixed-term contract;Sales;+ 5 years
jacques.bernard@hoolie.com;36 - 40;[45k€-60k€[;Russia;Fixed-term contract;Cross-fonctionnal team;+ 5 years
tlebon@hoolie.com;31 - 35;Less than 29k€;Russia;Fixed-term contract;Operations;4 - 5 years
maryse61@hoolie.com;26 - 30;[38k€-45k€[;Singapore;Permanent contrat;Operations;4 - 5 years
celina96@hoolie.com;26 - 30;[45k€-60k€[;USA;Permanent contrat;Sales;4 - 5 years
hugues.klein@hoolie.com;26 - 30;[33k€-38k€[;Singapore;Apprentice;Sales;+ 5 years
vlaporte@hoolie.com;26 - 30;[33k€-38k€[;India;Permanent contrat;Sales;4 - 5 years
leclerc.zoe@hoolie.com;31 - 35;[60k€ et +[;Belgium;Permanent contrat;Sales;1 - 3 years
guillaume81@hoolie.com;26 - 30;[60k€ et +[;Norway;Intern;Sales;4 - 5 years
leon47@hoolie.com;40;[45k€-60k€[;China;Fixed-term contract;Operations;+ 5 years
augustin.charpentier@hoolie.com;40;[45k€-60k€[;Russia;Permanent contrat;Operations;4 - 5 years
sfernandes@hoolie.com;36 - 40;[29k€-33k€[;Hungary;Apprentice;Sales;-1 year
theophile.faivre@hoolie.com;40;Less than 29k€;Hungary;Apprentice;Sales;+ 5 years
clerc.eugene@hoolie.com;36 - 40;[45k€-60k€[;USA;Apprentice;Engineering;4 - 5 years
margaux83@hoolie.com;36 - 40;[33k€-38k€[;Spain;Fixed-term contract;Cross-fonctionnal team;-1 year
luc77@hoolie.com;36 - 40;Less than 29k€;Belgium;Fixed-term contract;Cross-fonctionnal team;+ 5 years
lucy92@hoolie.com;26 - 30;[38k€-45k€[;Turkey;Permanent contrat;Engineering;4 - 5 years
tdevaux@hoolie.com;36 - 40;[33k€-38k€[;Norway;Intern;Engineering;1 - 3 years
vschneider@hoolie.com;26 - 30;Less than 29k€;UK;Apprentice;Operations;+ 5 years
gautier.philippe@hoolie.com;36 - 40;[33k€-38k€[;Turkey;Intern;Engineering;-1 year
georges.auger@hoolie.com;31 - 35;[60k€ et +[;France;Intern;Cross-fonctionnal team;4 - 5 years
olivier.aubert@hoolie.com;31 - 35;[38k€-45k€[;USA;Intern;Cross-fonctionnal team;1 - 3 years
diallo.marianne@hoolie.com;36 - 40;[38k€-45k€[;USA;Permanent contrat;Engineering;1 - 3 years
therese.thibault@hoolie.com;-26;[60k€ et +[;Hungary;Intern;Cross-fonctionnal team;1 - 3 years
perrier.nathalie@hoolie.com;31 - 35;[29k€-33k€[;China;Fixed-term contract;Operations;-1 year
barthelemy.astrid@hoolie.com;31 - 35;[29k€-33k€[;China;Apprentice;Cross-fonctionnal team;+ 5 years
crey@hoolie.com;-26;[60k€ et +[;Russia;Apprentice;Engineering;+ 5 years
renault.matthieu@hoolie.com;40;[60k€ et +[;Spain;Permanent contrat;Engineering;4 - 5 years
eleonore.david@hoolie.com;31 - 35;[38k€-45k€[;Croatia;Apprentice;Operations;+ 5 years
susanne.carlier@hoolie.com;36 - 40;[29k€-33k€[;Belgium;Fixed-term contract;Engineering;-1 year
lebreton.vincent@hoolie.com;31 - 35;[29k€-33k€[;USA;Permanent contrat;Sales;4 - 5 years
franck54@hoolie.com;26 - 30;Less than 29k€;Russia;Fixed-term contract;Operations;-1 year
slucas@hoolie.com;31 - 35;[60k€ et +[;Russia;Fixed-term contract;Sales;+ 5 years
maggie.besnard@hoolie.com;26 - 30;Less than 29k€;Spain;Fixed-term contract;Cross-fonctionnal team;4 - 5 years
josette.diallo@hoolie.com;-26;[60k€ et +[;Singapore;Apprentice;Engineering;-1 year
francoise.guillot@hoolie.com;26 - 30;[29k€-33k€[;Turkey;Permanent contrat;Engineering;+ 5 years
sabine97@hoolie.com;31 - 35;[33k€-38k€[;Russia;Apprentice;Sales;4 - 5 years
alexandre20@hoolie.com;40;Less than 29k€;Spain;Fixed-term contract;Engineering;1 - 3 years
ines.rocher@hoolie.com;36 - 40;[29k€-33k€[;France;Fixed-term contract;Operations;+ 5 years
aime59@hoolie.com;-26;[29k€-33k€[;India;Fixed-term contract;Sales;-1 year
yloiseau@hoolie.com;26 - 30;[33k€-38k€[;Russia;Intern;Engineering;+ 5 years
carpentier.zoe@hoolie.com;40;Less than 29k€;Spain;Intern;Sales;-1 year
alain.lesage@hoolie.com;-26;[33k€-38k€[;Turkey;Apprentice;Cross-fonctionnal team;+ 5 years
christophe.perrot@hoolie.com;36 - 40;[38k€-45k€[;China;Intern;Operations;-1 year
adam.marine@hoolie.com;31 - 35;[38k€-45k€[;Russia;Fixed-term contract;Operations;+ 5 years
pineau.david@hoolie.com;31 - 35;[60k€ et +[;Belgium;Permanent contrat;Sales;+ 5 years
kguyot@hoolie.com;31 - 35;[45k€-60k€[;Croatia;Permanent contrat;Cross-fonctionnal team;1 - 3 years
coste.dominique@hoolie.com;26 - 30;[29k€-33k€[;India;Apprentice;Engineering;4 - 5 years
pereira.danielle@hoolie.com;40;[45k€-60k€[;Turkey;Permanent contrat;Operations;4 - 5 years
ballard@hoolie.com;40;[33k€-38k€[;Turkey;Fixed-term contract;Sales;4 - 5 years
pierre.caroline@hoolie.com;40;[38k€-45k€[;USA;Permanent contrat;Engineering;-1 year
lopez.honore@hoolie.com;36 - 40;Less than 29k€;Russia;Fixed-term contract;Sales;1 - 3 years
francois.joly@hoolie.com;31 - 35;[60k€ et +[;USA;Apprentice;Operations;4 - 5 years
simone01@hoolie.com;36 - 40;Less than 29k€;USA;Intern;Sales;-1 year
jeannine43@hoolie.com;31 - 35;[38k€-45k€[;Belgium;Permanent contrat;Sales;+ 5 years
tclerc@hoolie.com;36 - 40;[29k€-33k€[;Russia;Permanent contrat;Sales;+ 5 years
wleleu@hoolie.com;31 - 35;[33k€-38k€[;Hungary;Apprentice;Sales;+ 5 years
anne.valette@hoolie.com;-26;[45k€-60k€[;Norway;Fixed-term contract;Sales;4 - 5 years
tbertrand@hoolie.com;36 - 40;[33k€-38k€[;Croatia;Intern;Operations;-1 year
denise49@hoolie.com;26 - 30;[45k€-60k€[;Spain;Apprentice;Engineering;-1 year
frederic.henry@hoolie.com;26 - 30;Less than 29k€;Singapore;Permanent contrat;Cross-fonctionnal team;+ 5 years
guillaume07@hoolie.com;36 - 40;[29k€-33k€[;Hungary;Permanent contrat;Sales;4 - 5 years
patrick.leclerc@hoolie.com;36 - 40;[33k€-38k€[;France;Fixed-term contract;Operations;4 - 5 years
xavier89@hoolie.com;40;[38k€-45k€[;USA;Apprentice;Cross-fonctionnal team;1 - 3 years
plaurent@hoolie.com;-26;[38k€-45k€[;Belgium;Intern;Sales;+ 5 years
therese.jacques@hoolie.com;36 - 40;[45k€-60k€[;Singapore;Permanent contrat;Engineering;4 - 5 years
colin.theophile@hoolie.com;26 - 30;[29k€-33k€[;Turkey;Apprentice;Cross-fonctionnal team;+ 5 years
martel.denis@hoolie.com;26 - 30;[45k€-60k€[;China;Permanent contrat;Sales;+ 5 years
wpottier@hoolie.com;40;[38k€-45k€[;UK;Fixed-term contract;Operations;+ 5 years
philippe79@hoolie.com;36 - 40;[38k€-45k€[;China;Intern;Engineering;-1 year
marques.anouk@hoolie.com;-26;[60k€ et +[;USA;Fixed-term contract;Cross-fonctionnal team;+ 5 years
poulain.philippe@hoolie.com;40;[45k€-60k€[;Singapore;Fixed-term contract;Engineering;+ 5 years
claire14@hoolie.com;40;[29k€-33k€[;UK;Fixed-term contract;Sales;-1 year
alice67@hoolie.com;-26;[38k€-45k€[;China;Fixed-term contract;Cross-fonctionnal team;1 - 3 years
edouard.arnaud@hoolie.com;26 - 30;[38k€-45k€[;Belgium;Fixed-term contract;Engineering;1 - 3 years
gilles.guichard@hoolie.com;31 - 35;[45k€-60k€[;Singapore;Permanent contrat;Engineering;-1 year
alexandre.alice@hoolie.com;36 - 40;[33k€-38k€[;China;Fixed-term contract;Sales;1 - 3 years
thierry.agathe@hoolie.com;40;[38k€-45k€[;Belgium;Intern;Cross-fonctionnal team;4 - 5 years
mendes.auguste@hoolie.com;-26;[60k€ et +[;Singapore;Fixed-term contract;Engineering;-1 year
henri.dubois@hoolie.com;31 - 35;[38k€-45k€[;Hungary;Fixed-term contract;Cross-fonctionnal team;-1 year
vincent98@hoolie.com;36 - 40;[29k€-33k€[;France;Intern;Sales;+ 5 years
gerard46@hoolie.com;31 - 35;[45k€-60k€[;Spain;Fixed-term contract;Engineering;1 - 3 years
herve.frederique@hoolie.com;31 - 35;[33k€-38k€[;China;Fixed-term contract;Engineering;+ 5 years
renee92@hoolie.com;-26;[45k€-60k€[;Croatia;Intern;Engineering;+ 5 years
krousset@hoolie.com;36 - 40;Less than 29k€;India;Apprentice;Cross-fonctionnal team;4 - 5 years
isalmon@hoolie.com;26 - 30;[38k€-45k€[;Hungary;Apprentice;Sales;+ 5 years
aime.pereira@hoolie.com;31 - 35;Less than 29k€;Singapore;Intern;Operations;4 - 5 years
mlefort@hoolie.com;31 - 35;Less than 29k€;France;Apprentice;Cross-fonctionnal team;1 - 3 years
claudine71@hoolie.com;-26;[29k€-33k€[;Hungary;Permanent contrat;Operations;4 - 5 years
klemoine@hoolie.com;31 - 35;[38k€-45k€[;Singapore;Fixed-term contract;Engineering;+ 5 years
coste.thibaut@hoolie.com;40;[38k€-45k€[;Hungary;Permanent contrat;Operations;4 - 5 years
margaud64@hoolie.com;36 - 40;[60k€ et +[;Belgium;Intern;Operations;4 - 5 years
matthieu.rey@hoolie.com;26 - 30;[45k€-60k€[;Norway;Apprentice;Cross-fonctionnal team;-1 year
wcharrier@hoolie.com;-26;[33k€-38k€[;France;Intern;Sales;4 - 5 years
gilbert.theophile@hoolie.com;40;[29k€-33k€[;France;Fixed-term contract;Operations;-1 year
gimenez.gilbert@hoolie.com;40;[38k€-45k€[;Turkey;Intern;Sales;1 - 3 years
baron.julien@hoolie.com;36 - 40;[29k€-33k€[;Russia;Fixed-term contract;Operations;1 - 3 years
jnavarro@hoolie.com;26 - 30;[45k€-60k€[;India;Permanent contrat;Sales;+ 5 years
hroyer@hoolie.com;-26;[38k€-45k€[;France;Fixed-term contract;Cross-fonctionnal team;+ 5 years
aubert.andre@hoolie.com;26 - 30;[45k€-60k€[;Hungary;Intern;Cross-fonctionnal team;+ 5 years
